code;libelle;type;source;documentMaitre;reprises;typesMarche;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif;parLot
B02-OB-02;Type de fournitures à livrer et services connexes à réaliser;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B02-OB-03;Numéro du dossier d'appel d'offres;TEXTE;SAISIE;DPAO;AE;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B02-AU-01;Description du projet global (marché non alloti);TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;alloti = NON;oui;;;;;;oui
B02-AU-02;Attribution des lots;LISTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;alloti = OUI;oui;;;Lot par lot (attribution divisible),Totalité des lots à un seul attributaire;;;oui
B02-AU-03;Quantités minimum et maximum;TEXTE_LONG;SAISIE;DPAO;;A_COMMANDE;;oui;;;;;;non
B02-AU-04;Durée de validité du marché à commande (mois);NOMBRE;SAISIE;DPAO;AE;A_COMMANDE;;oui;;;;;;oui
B02-AU-05;Date d'effet du marché à commande;DATE;SAISIE;AE;;A_COMMANDE;;oui;;;;;;oui
B02-AU-06;Rythme de commande (bons de commande);TEXTE_LONG;SAISIE;AUCUN;;A_COMMANDE;;non;;;;;;non
B02-AU-07;Nombre maximum de lots attribuables à un même candidat;NOMBRE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;alloti = OUI;non;;;;;;oui
B03-ST-01;Sous-traitance autorisée;OUI_NON;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-ST-02;Conditions de la sous-traitance;TEXTE_LONG;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B03-NA-01;Nantissement autorisé;OUI_NON;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-NA-02;Conditions du nantissement;TEXTE_LONG;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B03-NA-03;Comptable assignataire des paiements;TEXTE;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B03-CQ-01;Identification et situation juridique : pièces exigées;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-CQ-02;Capacité technique exigée;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-CQ-03;Capacité financière exigée;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-CQ-04;Marchés similaires : certificats de bonne fin ou PV de réception exigés;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-CQ-05;Autorisation du fabricant exigée;OUI_NON;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B03-CQ-06;Qualifications particulières exigées;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B03-CQ-07;Communautés locales et ONG admises à candidater;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B03-CQ-08;Préférence nationale accordée;OUI_NON;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-DE-01;Adresse pour les demandes d'éclaircissement;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-DE-02;Délai d'envoi des demandes par les candidats (jours avant la date limite);NOMBRE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-DE-03;Délai de réponse du représentant de la PRMP (jours);NOMBRE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-CO-01;Documents et pièces constituant l'offre;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-VO-01;Délai de validité des offres (jours);NOMBRE;SAISIE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;;oui;Les offres restent valables {B04-VO-01} jours à compter de la date limite de remise des offres.;VALIDITE_GARANTIE_SUP_OFFRE:OFFRE;;;;oui
B04-LA-01;Langue de l'offre autre que le français admise;OUI_NON;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-LA-02;Langue admise en plus du français;TEXTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B04-RO-01;Nombre de copies de l'offre;NOMBRE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-RO-02;Mention et numéro à porter sur les plis;TEXTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-RO-03;Présentation des plis (plis séparés par lot, enveloppes intérieures originale et copie);TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;non;;;;;;oui
B04-LR-01;Nom complet de la PRMP destinataire des offres;TEXTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-LR-02;Adresse de remise des offres;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-LR-03;Date limite de remise des offres;DATE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;DATES_ORDRE:REMISE;;;;oui
B04-LR-04;Heure limite de remise des offres;TEXTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-OP-01;Lieu de l'ouverture des plis;TEXTE_LONG;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B04-OP-02;Date de l'ouverture des plis;DATE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;DATES_ORDRE:OUVERTURE;;;;oui
B04-OP-03;Heure de l'ouverture des plis;TEXTE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;;oui;;;;;;oui
B05-CP-01;Incoterm des fournitures importées;LISTE;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;provenance = IMPORTEES;oui;;;CIP,CIF;;;oui
B05-CP-02;Décomposition des prix des fournitures nationales (EXW hors TVA, transports intérieurs, assurance, services);TEXTE_LONG;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;provenance = NATIONAL;non;;;;;;oui
B05-CP-03;Part en devises des fournitures importées;TEXTE;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;provenance = IMPORTEES;non;;;;;;oui
B05-VP-02;Formule de révision des prix;TEXTE_LONG;SAISIE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;prixRevisable = OUI;oui;;;;;;oui
B05-MO-01;Monnaie de l'offre;LISTE;SAISIE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;;oui;;;Ariary,Ariary et devise pour la part importée;;;oui
B05-MO-02;Devise admise pour la part importée;TEXTE;SAISIE;DPAO;CCAP;QUANTITE_FIXE,A_COMMANDE;provenance = IMPORTEES;non;;;;;;oui
B05-GS-02;Forme de la garantie de soumission;LISTE;SAISIE;DPAO;AE,CCAP;QUANTITE_FIXE,A_COMMANDE;garantieSoumission = OUI;oui;;;Dépôt en numéraire au Trésor,Caution personnelle et solidaire d'un organisme agréé par le MEF,Garantie bancaire,Chèque de banque;;;oui
B05-GS-03;Montant de la garantie de soumission (Ariary);MONTANT;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;garantieSoumission = OUI;oui;La garantie de soumission est fixée à {B05-GS-03} ariary.;GARANTIE_TAUX:GARANTIE;;;;oui;oui
B05-GS-04;Durée de validité de la garantie de soumission (jours);NOMBRE;SAISIE;DPAO;;QUANTITE_FIXE,A_COMMANDE;garantieSoumission = OUI;oui;;VALIDITE_GARANTIE_SUP_OFFRE:GARANTIE;;;;oui
B05-TP-02;Montant minimum annuel du marché (Ariary);MONTANT;SAISIE;AE;;A_COMMANDE;;oui;;MONTANT_POSITIF;;;;oui;oui
B05-TP-03;Montant maximum annuel du marché (Ariary);MONTANT;SAISIE;AE;;A_COMMANDE;;oui;;GARANTIE_TAUX:MAXIMUM;;;;oui;oui
